source_id,source_type,category,priority,technical_details,suggested_title
r001,review,Bug,High,Crash when opening Settings; Samsung Galaxy S21; Android 13; Steps: open app -> Profile -> Settings -> crash,Crash on opening Settings (Samsung Galaxy S21)
r002,review,Bug,High,"Login fails with 'invalid token' after update; iPhone 12, iOS 17.0.2; user cleared cache already",Login failure: invalid token (iOS 17)
r003,review,Praise,Low,"Positive feedback, no technical info provided",Positive review: app performance praised
r005,review,Feature Request,Medium,"User requests dark mode for night use, no device info",Feature Request: Add Dark Mode
r006,review,Bug,Critical,Data sync not working across devices; user reports lost notes; device unspecified,Data sync failure causing lost notes
r011,review,Bug,High,Login error 'network error' after reinstall; likely account/session token or network handling; iOS device,Login fails with 'network error' after reinstall
r022,review,Spam,Low,Promotional spam linking to external site www.fakepromo.example,Spam review - promotional link
r027,review,Spam,Low,Random characters only; likely bot/spam,Spam: gibberish content
e001,email,Bug,High,Crashes opening Settings on Samsung Galaxy S21 (Android 13). Steps and device provided.,Crash on Settings (Samsung Galaxy S21)
e002,email,Bug,High,"Login invalid token on iPhone 12, iOS 17.0.2. User cleared cache.",Login invalid token after update (iPhone 12)
e003,email,Feature Request,Medium,Dark mode requested; user references multiple user requests.,Feature Request: Dark Mode
e004,email,Bug,Critical,"Data loss after sync between phone and tablet; Pixel 6, Android 12; reproduction steps included.",Data loss after sync between devices
e009,email,Spam,Low,Promotional content linking to external site; obvious spam,Spam: promotional link
e010,email,Bug,High,"Login network error after reinstall; iPhone SE (2020), iOS 15; network check failed",Login 'network error' after reinstall (iPhone SE)
e015,email,Spam,Low,Random characters only; likely automated/spam,Spam: gibberish email
r020,review,Complaint,Medium,Missing offline mode; user needs offline functionality for frequent use,Feature missing: Offline Mode
r014,review,Complaint,Medium,Poor customer service; delayed support response about billing,Complaint: Delayed customer support response
e012,email,Complaint,Medium,Customer reports no response for 2 weeks regarding billing issue,Complaint: No response from support on billing
r019,review,Complaint,Low,User finds subscription too expensive; pricing feedback,Pricing complaint: subscription too expensive
r009,review,Praise,Low,Praise for exporting reports feature; no technical issue,Praise: exporting reports appreciated
