review_id,platform,rating,review_text,user_name,date,app_version
r001,Google Play,1,"App crashes when I try to open settings. Reinstalled twice, still crashes.",Sanjay K,2025-10-22,3.0.1
r002,App Store,2,Can't login since update. Keeps saying invalid token.,Priya M,2025-09-30,3.0.1
r003,Google Play,5,Amazing app! Very intuitive and fast.,Alex R,2025-08-14,2.9.0
r004,App Store,4,Love the new feature that schedules reminders.,Neha S,2025-07-01,2.8.7
r005,Google Play,3,Please add dark mode — would be great for night use.,Vikram P,2025-06-20,2.8.7
r006,App Store,1,Data sync not working across devices. Lost my notes.,Maya T,2025-05-11,2.7.4
r007,Google Play,4,Works perfectly after the last update. Smooth UX.,Jordan,2025-04-03,2.7.0
r008,App Store,2,App is slow and freezes when uploading images.,Rohit K,2025-03-29,2.6.5
r009,Google Play,5,Love the new feature — exporting reports is so easy now!,Sara L,2025-03-10,2.6.5
r010,App Store,4,Would love to see collaborative editing in future releases.,Daniel W,2025-02-18,2.6.0
r011,Google Play,1,Can't login after reinstall. Keeps saying 'network error'.,Anita P,2025-01-25,3.0.1
r012,App Store,5,Amazing app! Customer support helped me quickly.,Liam H,2024-12-12,2.5.9
r013,Google Play,3,"Please add filter options for search results, currently too broad.",Fatima Z,2024-11-03,2.5.4
r014,App Store,2,Poor customer service — didn't get a response for 2 weeks.,Carlos M,2024-10-21,2.5.4
r015,Google Play,4,Good app but a bit pricey for premium features.,Priyanka R,2024-09-02,2.4.8
r016,App Store,5,Works perfectly. Been using it daily with no issues.,Emma G,2024-08-15,2.4.3
r017,Google Play,1,App crashes when I upload a photo — please fix ASAP.,Arjun,2024-07-30,2.4.3
r018,App Store,4,Would love to see more templates for reports.,Olivia,2024-06-18,2.3.9
r019,Google Play,2,Too expensive for what it offers. Subscription is steep.,Manish S,2024-05-05,2.3.2
r020,App Store,3,Missing functionality: no offline mode which I need frequently.,Zara A,2024-04-12,2.2.8
r021,Google Play,5,Excellent performance after the update. Highly recommend.,Noah,2024-03-04,3.1.0
r022,App Store,1,Spam: Buy followers now!!! Visit www.fakepromo.example,spam_user_123,2024-02-28,1.0.0
r023,Google Play,4,Love the new feature set and improved navigation.,Isha K,2024-01-20,3.0.0
r024,App Store,2,"App is slow on older devices, UI lags a lot.",Rakesh,2023-12-10,2.0.5
r025,Google Play,5,Amazing app! Saved me hours every week.,Megan P,2023-11-05,1.9.8
r026,App Store,3,Please add ability to export CSV directly from mobile.,Bhavesh,2023-10-02,1.9.0
r027,Google Play,1,Random characters: asdklj123!!! ???,weird_bot,2023-09-18,1.8.4
r028,App Store,4,Feature request: integrate with calendar apps for reminders.,Sofia,2023-08-01,1.8.0
r029,Google Play,2,Can't restore purchases after reinstalling app.,Kunal,2023-07-13,1.7.6
r030,App Store,5,Love the new feature — dark mode is perfect.,Ava B,2023-06-07,1.7.0
